signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
2HbEYHciTuomiduKCp3p6MhLHNu3oqD4UzUgVwQQPb7n5cjCcHsre18M7dB3EFZLzb7q92baNtdUxaQzAtkh2BNH,list,magiceden_v2,Gp1qXRYD7Q5RVAV6YaYctnizoWtH36AvKxt2rNbJKRbq,monkey_kingdom,monkey_kingdom,163298125,1669469983,,,9H3WVr3bafut5DH4dyh2tJXGVW143ZWCL57ZmHmWneb5,,15.15,https://arweave.net/wjQK3Zl4BcleqfiJ3Dfr4aLEYx9mug_ZBL_MnTPBWlI
5MpxhGhypQ1nFGTnkEhWXFwwGmXFYojxs667o2KPMntDmKYt43wxU6QZ7KKCovEyKRZCbdp2FawnYhGZRtPvNjXu,cancelBid,magiceden_v2,EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,monkey_kingdom,monkey_kingdom,163242602,1669445377,AhYnPXdjxi9p5uffkKPRocTu2KGVhU4qQnk6JBN6oWzq,,,,0,https://arweave.net/9w5XUi2E8dCSvV6vvIPIUwE4LXiGvjPVdiwK7artNIw
9NfWfvySuoBN9QdZaG26QVJo1saXS1qDupxRTPnRmcMiVGx6rA7ngqCtyThV8XUA9TSemNzcpDzbUuWMV59gose,buyNow,magiceden_v2,2E2958wvTR8eL7JEf3HFFDHtedKRk3ckoEHhMuNK3j4A,monkey_kingdom,monkey_kingdom,163044128,1669358409,9foY6i2bohoR1j3JGDhVjdg2qVeZAU6wircNwDS5nbgG,,9XzjB1VPv7pXVCFotbVaAqkcvmh3dWXLPRgkbMAh8DW1,,13.49,https://arweave.net/8AdWHG0DSOmpZNzH8N0lg9X5DF26ejGxR7FcZ9zdC3Q
9NfWfvySuoBN9QdZaG26QVJo1saXS1qDupxRTPnRmcMiVGx6rA7ngqCtyThV8XUA9TSemNzcpDzbUuWMV59gose,bid,magiceden_v2,2E2958wvTR8eL7JEf3HFFDHtedKRk3ckoEHhMuNK3j4A,monkey_kingdom,monkey_kingdom,163044128,1669358409,9foY6i2bohoR1j3JGDhVjdg2qVeZAU6wircNwDS5nbgG,,,,13.49,https://arweave.net/8AdWHG0DSOmpZNzH8N0lg9X5DF26ejGxR7FcZ9zdC3Q
2sM7LeEyPBxK9UYhtaSLQ5LCxX87royoq939jnPn2TSKfh9NjrM7ZYktvgFcTW5oEPMfUB8qpJ86pBJuantXqCeT,buyNow,magiceden_v2,EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,monkey_kingdom,monkey_kingdom,163044128,1669358409,9foY6i2bohoR1j3JGDhVjdg2qVeZAU6wircNwDS5nbgG,,5BDw75eeycyTgmut6ijiFf2EVV2s3abfZ7PCR2EnhxkU,,13,https://arweave.net/9w5XUi2E8dCSvV6vvIPIUwE4LXiGvjPVdiwK7artNIw
2sM7LeEyPBxK9UYhtaSLQ5LCxX87royoq939jnPn2TSKfh9NjrM7ZYktvgFcTW5oEPMfUB8qpJ86pBJuantXqCeT,bid,magiceden_v2,EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,monkey_kingdom,monkey_kingdom,163044128,1669358409,9foY6i2bohoR1j3JGDhVjdg2qVeZAU6wircNwDS5nbgG,,,,13,https://arweave.net/9w5XUi2E8dCSvV6vvIPIUwE4LXiGvjPVdiwK7artNIw
5GrUXvBkTMeh3pcuWfXBFdAJEzpKNeUyrL9casmA9YRCGBFaTHsotEityzpqdwYYX7aNMFY2CFFARpBiGvzT7PzP,delist,magiceden,C8t3bGKGm9kEtyDiMQNYiBGZxnQm2omFNZ4TYNzw9Q87,monkey_kingdom,monkey_kingdom,163004651,1669341021,,,GYpY2GdNo3cHTHR52nGacVU3j9ydA91wVcTveYvyUUqD,,0,https://arweave.net/lKhKHwBYMwCtDF190ZjHdh3aAlBH_2QohqOo1FSeASw
23eCWXLxdAyoyc4sX4tHU6gKsX85D342ZBiwcC4UgAQ79RUL4DBy4X3vHwLTWqCKrim9A2k1Uq5RksGPP6VammEx,delist,magiceden,5oqRLJzQMivQG5QzAg4YxduHqfxXPbHXiCiKJ6VfAe9h,monkey_kingdom,monkey_kingdom,162920781,1669303879,,,GZaJWAZeqRWBBBbHK7fqjceU8M5bmKZcoUNYLRh9Wfs3,,0,https://arweave.net/_7BhgM7qjaPJirp0-UhU7X1TpKsSM1LVzVEUZmTs4Gg
UKymX2osxRyMC98AocZBRzDXSdae5PZJ5vsjGZNEsFmRxBsZM1b7U7Q6A7P8W9wjCMcSqEfErknBLr7onsPhRGU,bid,magiceden_v2,EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,monkey_kingdom,monkey_kingdom,162844168,1669269916,5cdJGGLo2BJYgn45ainGKCtBMA6gJ7FmmwZgAfMwd4wH,,,,8.5,https://arweave.net/9w5XUi2E8dCSvV6vvIPIUwE4LXiGvjPVdiwK7artNIw
tMnbkSm68Q9cz7HxsvDiNrN6NNr2vLx5ABrusyuS5qhsDQcsEr7pNFcPpm3avNdmvAWBBJLfm2J23HKxKuGNnJe,cancelBid,magiceden_v2,EWQ59fJKjWWk4vAgShTHYmr9Xktb5LotuHGhG17Q8dTH,monkey_kingdom,monkey_kingdom,162844132,1669269900,5cdJGGLo2BJYgn45ainGKCtBMA6gJ7FmmwZgAfMwd4wH,,,,0,https://arweave.net/9w5XUi2E8dCSvV6vvIPIUwE4LXiGvjPVdiwK7artNIw
4snQL7wFBVMK2dqQKUqW1iAeHei9zWttK4DVf6fCS3F3qn54oCVfdvv4uNsQ3znSv6ajwrwP1EHyaJWH2k51Ys2j,cancelBid,magiceden_v2,53D1iaNDApn1mHA1zJZQBtbjegjJnQwrZhxD6X73pPn9,monkey_kingdom,monkey_kingdom,162843422,1669269593,g7rzgMzofvADpwmKQddsfDHZZiLGt9bwCCVb1mLoYDM,,,,0,https://arweave.net/3mbho6eotM35PefJkiGCuamWmtZBMr7ypg7YogQlCno
ubohSWLHCYwJ6h4tJ9GZvj3wXRoB354T2aSh4sgiUk6NtLkngz7mX6ieJoU28myqo4KJjMHnVpCcMgEjBm1ZtSy,buyNow,magiceden_v2,CJgui1xeQhtpXkGgpzHaFGPXSk1fEwhdmBUEmLQwXEUT,monkey_kingdom,monkey_kingdom,162834226,1669265532,FY8qLm8bytrvnzb8SFH4zuvz2QTWjGxibqDMdmi5ZwkC,,5MfYH8h7Zp3V78Je5c7uzajvGtLuRZjEpsVssLYFBYa4,,13.5,https://arweave.net/8E5F6b7xI5AoPIpDRItIUhVB3NfJJZ_CHBatohyqYMU
